company,location_hq,country,continent,laid_off,date_layoffs,percentage,company_size_before_layoffs,company_size_after_layoffs,industry,stage,money_raised_in_mil,year,latitude,longitude,mapped_industry,profit_margins,pe_ratio
Spotify,Stockholm,Sweden,Europe,1500,2023-12-04,17.0,9200,7700,Media,Post-IPO,2100.0,2023,59.32938,18.06871,Other,0.31267793340442784,149.10145341991296
Loco,Mumbai,India,Asia,40,2023-11-30,36.0,111,71,Consumer,Acquired,52.0,2023,19.07283,72.88261,Consumer,0.17082623261628355,113.24898568126481
Zepz,London,United Kingdom,Europe,30,2023-11-30,2.0,1500,1470,Finance,Series E,700.0,2023,51.50853,-0.12574,Other,0.31267793340442784,149.10145341991296
Dataminr,New York City,USA,North America,150,2023-11-28,20.0,750,600,AI,Series F,1100.0,2023,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Our Next Energy,Detroit,USA,North America,128,2023-11-27,25.0,512,384,Transportation,Series B,390.0,2023,42.33143,-83.04575,Other,0.31267793340442784,149.10145341991296
Physics Wallah,Noida,India,Asia,120,2023-11-19,1.0,12000,11880,Education,Series A,100.0,2023,8.49615,77.53601,Other,0.31267793340442784,149.10145341991296
TripAdvisor,Boston,USA,North America,125,2023-11-12,4.0,3125,3000,Travel,Post-IPO,3.0,2023,42.35843,-71.05977,Other,0.31267793340442784,149.10145341991296
Beyond Meat,Los Angeles,USA,North America,65,2023-11-02,8.0,813,748,Food,Post-IPO,122.0,2023,34.05223,-118.24368,Consumer,0.17082623261628355,113.24898568126481
Splunk,San Francisco Bay Area,USA,North America,500,2023-11-01,7.0,7143,6643,Data,Post-IPO,2400.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Faire,San Francisco Bay Area,USA,North America,250,2023-11-01,20.0,1250,1000,Retail,Series G,1700.0,2023,37.77493,-122.41942,Consumer,0.17082623261628355,113.24898568126481
Sana Benefits,Austin,USA,North America,73,2023-11-01,50.0,146,73,HR,Series B,106.0,2023,30.26715,-97.74306,HR,0.06034258863211765,164.1777929426829
Hippo Insurance,San Francisco Bay Area,USA,North America,120,2023-10-26,20.0,600,480,Finance,Post-IPO,1300.0,2023,37.44188,-122.14302,Other,0.31267793340442784,149.10145341991296
SiFive,San Francisco Bay Area,USA,North America,130,2023-10-24,20.0,650,520,Hardware,Series F,365.0,2023,37.35411,-121.95524,Other,0.31267793340442784,149.10145341991296
Convoy,Seattle,USA,North America,500,2023-10-19,100.0,500,0,Logistics,Series E,1100.0,2023,47.60621,-122.33207,Other,0.31267793340442784,149.10145341991296
Bullhorn,Boston,USA,North America,140,2023-10-19,9.0,1556,1416,Sales,Acquired,32.0,2023,42.35843,-71.05977,Other,0.31267793340442784,149.10145341991296
StellarAlgo,Calgary,Canada,North America,21,2023-10-19,28.0,75,54,Data,Series A,16.0,2023,51.05011,-114.08529,Other,0.31267793340442784,149.10145341991296
ManoMano,Paris,France,Europe,230,2023-10-18,25.0,920,690,Retail,Series F,705.0,2023,48.85341,2.3488,Consumer,0.17082623261628355,113.24898568126481
LinkedIn,San Francisco Bay Area,USA,North America,660,2023-10-16,3.0,22000,21340,Recruiting,Acquired,154.0,2023,37.36883,-122.03635,Other,0.31267793340442784,149.10145341991296
C2FO,Kansas City,USA,North America,80,2023-10-16,3.0,2667,2587,Finance,Series H,537.0,2023,39.09973,-94.57857,Other,0.31267793340442784,149.10145341991296
Lending Club,San Francisco Bay Area,USA,North America,172,2023-10-12,14.0,1229,1057,Finance,Post-IPO,392.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
MariaDB,San Francisco Bay Area,USA,North America,84,2023-10-12,28.0,300,216,Data,Post-IPO,272.0,2023,37.48522,-122.23635,Other,0.31267793340442784,149.10145341991296
Deepgram,San Francisco Bay Area,USA,North America,20,2023-10-11,20.0,100,80,AI,Series B,86.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Carbon Health,San Francisco Bay Area,USA,North America,114,2023-10-09,5.0,2280,2166,Healthcare,Series D,522.0,2023,37.77493,-122.41942,Healthcare,0.5421634367891365,286.19442704934613
InvestCloud,Los Angeles,USA,North America,80,2023-10-06,5.0,1600,1520,Finance,Private Equity …,54.0,2023,34.05223,-118.24368,Other,0.31267793340442784,149.10145341991296
SchoolMint,San Francisco Bay Area,USA,North America,29,2023-10-05,14.0,207,178,Education,Acquired,8.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Arrival,London,United Kingdom,Europe,200,2023-10-05,25.0,800,600,Transportation,Post-IPO,629.0,2023,51.50853,-0.12574,Other,0.31267793340442784,149.10145341991296
Chainalysis,New York City,USA,North America,150,2023-10-02,15.0,1000,850,Crypto,Series F,536.0,2023,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Synapse,San Francisco Bay Area,USA,North America,86,2023-10-02,40.0,215,129,Finance,Series B,50.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Chia Network,San Francisco Bay Area,USA,North America,26,2023-10-02,37.0,70,44,Crypto,Series D,70.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Cowbell,San Francisco Bay Area,USA,North America,28,2023-09-29,12.0,233,205,Finance,Series B,123.0,2023,37.66243,-121.87468,Other,0.31267793340442784,149.10145341991296
Flexe,Seattle,USA,North America,131,2023-09-26,33.0,397,266,Logistics,Series D,263.0,2023,47.60621,-122.33207,Other,0.31267793340442784,149.10145341991296
7shifts,Saskatoon,Canada,North America,30,2023-09-15,7.0,429,399,Food,Series C,131.0,2023,52.13238,-106.66892,Consumer,0.17082623261628355,113.24898568126481
Airtable,San Francisco Bay Area,USA,North America,237,2023-09-14,27.0,878,641,Product,Series F,1400.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
VideoAmp,Los Angeles,USA,North America,40,2023-09-14,10.0,400,360,Marketing,Series F,456.0,2023,34.05223,-118.24368,Retail,0.04584106071309091,193.58928577969698
Evolve,Denver,USA,North America,175,2023-09-12,20.0,875,700,Travel,Series F,224.0,2023,39.73915,-104.9847,Other,0.31267793340442784,149.10145341991296
Paper,Montreal,Canada,North America,87,2023-09-12,3.0,2900,2813,Education,Series D,389.0,2023,45.50884,-73.58781,Other,0.31267793340442784,149.10145341991296
Chargebee,San Francisco Bay Area,USA,North America,100,2023-09-11,10.0,1000,900,Finance,Series H,468.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Drift,Boston,USA,North America,100,2023-09-07,25.0,400,300,Marketing,Acquired,107.0,2023,42.35843,-71.05977,Retail,0.04584106071309091,193.58928577969698
Roku,San Francisco Bay Area,USA,North America,360,2023-09-06,10.0,3600,3240,Media,Post-IPO,208.0,2023,37.33939,-121.89496,Other,0.31267793340442784,149.10145341991296
Absci,Portland,USA,North America,30,2023-09-05,15.0,200,170,Healthcare,Post-IPO,238.0,2023,45.52345,-122.67621,Healthcare,0.5421634367891365,286.19442704934613
Hodinkee,New York City,USA,North America,24,2023-09-05,20.0,120,96,Retail,Seed,40.0,2023,40.71427,-74.00597,Consumer,0.17082623261628355,113.24898568126481
Nexar,New York City,USA,North America,17,2023-09-04,14.0,121,104,Transportation,Series D,149.0,2023,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Omuni,Bengaluru,India,Asia,60,2023-08-30,35.0,171,111,Retail,Acquired,10.0,2023,12.97194,77.59369,Consumer,0.17082623261628355,113.24898568126481
Kenko Health,Mumbai,India,Asia,50,2023-08-30,20.0,250,200,Healthcare,Series A,14.0,2023,19.07283,72.88261,Healthcare,0.5421634367891365,286.19442704934613
Zeplin,San Francisco Bay Area,USA,North America,37,2023-08-30,35.0,106,69,Product,Seed,1.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Zebra Technologies,Chicago,USA,North America,700,2023-08-28,7.0,10000,9300,Manufacturing,Post-IPO,2000.0,2023,41.85003,-87.65005,Other,0.31267793340442784,149.10145341991296
Atlas,Chicago,USA,North America,150,2023-08-23,30.0,500,350,HR,Series B,220.0,2023,41.85003,-87.65005,HR,0.06034258863211765,164.1777929426829
Veriff,Tallinn,Estonia,Europe,101,2023-08-23,21.0,481,380,Security,Series C,192.0,2023,59.43696,24.75353,Other,0.31267793340442784,149.10145341991296
BlackLine,Los Angeles,USA,North America,95,2023-08-23,5.0,1900,1805,Finance,Post-IPO,220.0,2023,34.05223,-118.24368,Other,0.31267793340442784,149.10145341991296
Getir,London,United Kingdom,Europe,2500,2023-08-22,11.0,22727,20227,Food,Series E,1800.0,2023,51.50853,-0.12574,Consumer,0.17082623261628355,113.24898568126481
Twiga,Nairobi,Kenya,Africa,283,2023-08-20,33.0,858,575,Food,Series C,157.0,2023,-1.28333,36.81667,Consumer,0.17082623261628355,113.24898568126481
AppFolio,Santa Barbara,USA,North America,149,2023-08-17,9.0,1656,1507,Real Estate,Post-IPO,30.0,2023,34.42083,-119.69819,Real Estate,0.30273994137013177,187.5233707675104
StreamElements,Tel Aviv,Israel,Asia,60,2023-08-17,35.0,171,111,Media,Series B,111.0,2023,32.08088,34.78057,Other,0.31267793340442784,149.10145341991296
SecureWorks,Atlanta,USA,North America,300,2023-08-14,15.0,2000,1700,Security,Post-IPO,83.0,2023,33.749,-84.38798,Other,0.31267793340442784,149.10145341991296
Blend,San Francisco Bay Area,USA,North America,150,2023-08-09,19.0,789,639,Finance,Post-IPO,665.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Dealtale,Tel Aviv,Israel,Asia,70,2023-08-09,100.0,70,0,Sales,Acquired,2.0,2023,32.08088,34.78057,Other,0.31267793340442784,149.10145341991296
Rapid7,Boston,USA,North America,470,2023-08-08,18.0,2611,2141,Security,Post-IPO,89.0,2023,42.35843,-71.05977,Other,0.31267793340442784,149.10145341991296
Doximity,San Francisco Bay Area,USA,North America,100,2023-08-08,10.0,1000,900,Healthcare,Post-IPO,82.0,2023,37.77493,-122.41942,Healthcare,0.5421634367891365,286.19442704934613
23andMe,San Francisco Bay Area,USA,North America,71,2023-08-08,11.0,645,574,Healthcare,Post-IPO,1100.0,2023,37.77493,-122.41942,Healthcare,0.5421634367891365,286.19442704934613
Top Hat,Toronto,Canada,North America,42,2023-08-04,7.0,600,558,Education,Series E,234.0,2023,43.70643,-79.39864,Other,0.31267793340442784,149.10145341991296
Discord,San Francisco Bay Area,USA,North America,37,2023-08-03,4.0,925,888,Consumer,Series H,995.0,2023,37.77493,-122.41942,Consumer,0.17082623261628355,113.24898568126481
Spinny,Gurugram,India,Asia,300,2023-08-02,5.0,6000,5700,Transportation,Series E,513.0,2023,28.4601,77.02635,Other,0.31267793340442784,149.10145341991296
BetterUp,San Francisco Bay Area,USA,North America,100,2023-08-02,16.0,625,525,HR,Series E,567.0,2023,37.77493,-122.41942,HR,0.06034258863211765,164.1777929426829
Augury,New York City,USA,North America,70,2023-08-02,18.0,389,319,Manufacturing,Series E,274.0,2023,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Vesttoo,Tel Aviv,Israel,Asia,150,2023-08-01,75.0,200,50,Finance,Series C,110.0,2023,32.08088,34.78057,Other,0.31267793340442784,149.10145341991296
Planet,San Francisco Bay Area,USA,North America,117,2023-08-01,10.0,1170,1053,Aerospace,Post-IPO,574.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Paper,Montreal,Canada,North America,106,2023-08-01,4.0,2650,2544,Education,Series D,389.0,2023,45.50884,-73.58781,Other,0.31267793340442784,149.10145341991296
Archipelago,San Francisco Bay Area,USA,North America,40,2023-08-01,30.0,133,93,Real Estate,Series B,57.0,2023,37.77493,-122.41942,Real Estate,0.30273994137013177,187.5233707675104
Kape Technologies,London,United Kingdom,Europe,200,2023-07-30,30.0,667,467,Security,Post-IPO,188.0,2023,51.50853,-0.12574,Other,0.31267793340442784,149.10145341991296
Milkbasket,Gurugram,India,Asia,400,2023-07-27,67.0,597,197,Food,Acquired,39.0,2023,28.4601,77.02635,Consumer,0.17082623261628355,113.24898568126481
Wish,San Francisco Bay Area,USA,North America,255,2023-07-27,34.0,750,495,Retail,Post-IPO,1600.0,2023,37.77493,-122.41942,Consumer,0.17082623261628355,113.24898568126481
Point,San Francisco Bay Area,USA,North America,61,2023-07-27,28.0,218,157,Real Estate,Series C,149.0,2023,37.77493,-122.41942,Real Estate,0.30273994137013177,187.5233707675104
Verbit,New York City,USA,North America,60,2023-07-27,6.0,1000,940,Data,Series E,569.0,2023,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Copia,Nairobi,Kenya,Africa,350,2023-07-26,25.0,1400,1050,Retail,Series C,103.0,2023,-1.28333,36.81667,Consumer,0.17082623261628355,113.24898568126481
AgentSync,Denver,USA,North America,67,2023-07-19,24.0,279,212,Finance,Series B,111.0,2023,39.73915,-104.9847,Other,0.31267793340442784,149.10145341991296
Inspirato,Denver,USA,North America,50,2023-07-19,6.0,833,783,Travel,Post-IPO,179.0,2023,39.73915,-104.9847,Other,0.31267793340442784,149.10145341991296
Sarcos,Salt Lake City,USA,North America,75,2023-07-17,25.0,300,225,Aerospace,Post-IPO,316.0,2023,40.76078,-111.89105,Other,0.31267793340442784,149.10145341991296
PayScale,Seattle,USA,North America,14,2023-07-14,2.0,700,686,HR,Acquired,33.0,2023,47.60621,-122.33207,HR,0.06034258863211765,164.1777929426829
Deepwatch,Tampa Bay,USA,North America,30,2023-07-13,7.0,429,399,Security,Series C,256.0,2023,27.94752,-82.45843,Other,0.31267793340442784,149.10145341991296
DeepVerge,Dublin,Ireland,Europe,50,2023-07-12,100.0,50,0,Healthcare,Post-IPO,20.0,2023,53.33306,-6.24889,Healthcare,0.5421634367891365,286.19442704934613
Freightos,Miami,USA,North America,50,2023-07-12,13.0,385,335,Logistics,Post-IPO,118.0,2023,25.77427,-80.19366,Other,0.31267793340442784,149.10145341991296
Matterport,San Francisco Bay Area,USA,North America,170,2023-07-11,30.0,567,397,Data,Post-IPO,409.0,2023,37.36883,-122.03635,Other,0.31267793340442784,149.10145341991296
Sisense,New York City,USA,North America,100,2023-07-11,15.0,667,567,Data,Series F,274.0,2023,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
FrontRow,Bengaluru,India,Asia,4,2023-07-10,100.0,4,0,Education,Series A,17.0,2023,12.97194,77.59369,Other,0.31267793340442784,149.10145341991296
FNZ,London,United Kingdom,Europe,1000,2023-07-06,15.0,6667,5667,Finance,Private Equity …,1400.0,2023,51.50853,-0.12574,Other,0.31267793340442784,149.10145341991296
Perfect Day,San Francisco Bay Area,USA,North America,134,2023-07-06,15.0,893,759,Food,Series D,711.0,2023,37.87159,-122.27275,Consumer,0.17082623261628355,113.24898568126481
TytoCare,New York City,USA,North America,20,2023-07-06,10.0,200,180,Healthcare,Series D,156.0,2023,40.71427,-74.00597,Healthcare,0.5421634367891365,286.19442704934613
Highsnobiety,Berlin,Germany,Europe,24,2023-07-03,10.0,240,216,Media,Acquired,8.0,2023,52.52437,13.41053,Other,0.31267793340442784,149.10145341991296
Zip,Sydney,Australia,Australia,300,2023-07-02,20.0,1500,1200,Finance,Post-IPO,896.0,2023,-33.86785,151.20732,Other,0.31267793340442784,149.10145341991296
Artsy,New York City,USA,North America,35,2023-06-29,15.0,233,198,Retail,Series D,100.0,2023,40.71427,-74.00597,Consumer,0.17082623261628355,113.24898568126481
New Relic,San Francisco Bay Area,USA,North America,255,2023-06-27,10.0,2550,2295,Infrastructure,Post-IPO,214.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Robinhood,San Francisco Bay Area,USA,North America,150,2023-06-26,7.0,2143,1993,Finance,Post-IPO,5600.0,2023,37.45383,-122.18219,Other,0.31267793340442784,149.10145341991296
Convoy,Seattle,USA,North America,30,2023-06-26,5.0,600,570,Logistics,Series E,1100.0,2023,47.60621,-122.33207,Other,0.31267793340442784,149.10145341991296
Uber,San Francisco Bay Area,USA,North America,200,2023-06-21,0.9961647656522389,20077,19877,Transportation,Post-IPO,25200.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Ritual,Toronto,Canada,North America,38,2023-06-21,40.0,95,57,Food,Series C,134.0,2023,43.70643,-79.39864,Consumer,0.17082623261628355,113.24898568126481
Grab,Singapore,Singapore,Asia,1000,2023-06-20,11.0,9091,8091,Transportation,Post-IPO,16500.0,2023,1.28967,103.85007,Other,0.31267793340442784,149.10145341991296
Mojocare,Bengaluru,India,Asia,170,2023-06-17,80.0,213,43,Healthcare,Series A,24.0,2023,12.97194,77.59369,Healthcare,0.5421634367891365,286.19442704934613
CareRev,Los Angeles,USA,North America,100,2023-06-15,33.0,303,203,Healthcare,Series A,51.0,2023,34.05223,-118.24368,Healthcare,0.5421634367891365,286.19442704934613
FrontRow,Bengaluru,India,Asia,39,2023-06-15,90.0,43,4,Education,Series A,17.0,2023,12.97194,77.59369,Other,0.31267793340442784,149.10145341991296
Bitwise,Fresno,USA,North America,900,2023-06-14,100.0,900,0,Crypto,Series B,84.0,2023,36.74773,-119.77237,Other,0.31267793340442784,149.10145341991296
Sonos,New York City,USA,North America,130,2023-06-14,7.0,1857,1727,Consumer,Post-IPO,455.0,2023,40.71427,-74.00597,Consumer,0.17082623261628355,113.24898568126481
TrueCar,Los Angeles,USA,North America,102,2023-06-14,24.0,425,323,Transportation,Post-IPO,340.0,2023,34.05223,-118.24368,Other,0.31267793340442784,149.10145341991296
Olo,New York City,USA,North America,81,2023-06-14,11.0,736,655,Food,Post-IPO,184.0,2023,40.71427,-74.00597,Consumer,0.17082623261628355,113.24898568126481
Grubhub,San Francisco Bay Area,USA,North America,400,2023-06-12,15.0,2667,2267,Food,Acquired,284.0,2023,37.77493,-122.41942,Consumer,0.17082623261628355,113.24898568126481
GoCardless,London,United Kingdom,Europe,150,2023-06-12,17.0,882,732,Finance,Series G,529.0,2023,51.50853,-0.12574,Other,0.31267793340442784,149.10145341991296
Pendo,Raleigh,USA,North America,100,2023-06-12,12.0,833,733,Product,Series F,469.0,2023,35.7721,-78.63861,Other,0.31267793340442784,149.10145341991296
Chegg,San Francisco Bay Area,USA,North America,80,2023-06-12,4.0,2000,1920,Education,Post-IPO,227.0,2023,37.35411,-121.95524,Other,0.31267793340442784,149.10145341991296
Trybe,Sao Paulo,Brazil,South America,128,2023-06-09,35.0,366,238,Education,Series B,40.0,2023,-23.5475,-46.63611,Other,0.31267793340442784,149.10145341991296
23andMe,San Francisco Bay Area,USA,North America,75,2023-06-09,9.0,833,758,Healthcare,Post-IPO,1100.0,2023,37.77493,-122.41942,Healthcare,0.5421634367891365,286.19442704934613
Expel,Washington DC,USA,North America,60,2023-06-09,10.0,600,540,Security,Series E,288.0,2023,38.89511,-77.03637,Other,0.31267793340442784,149.10145341991296
Cityblock Health,New York City,USA,North America,155,2023-06-08,12.0,1292,1137,Healthcare,Series D,891.0,2023,40.71427,-74.00597,Healthcare,0.5421634367891365,286.19442704934613
Highspot,Seattle,USA,North America,140,2023-06-08,15.0,933,793,Sales,Series F,644.0,2023,47.60621,-122.33207,Other,0.31267793340442784,149.10145341991296
Edgio,Phoenix,USA,North America,134,2023-06-06,12.0,1117,983,Infrastructure,Post-IPO,462.0,2023,33.44838,-112.07404,Other,0.31267793340442784,149.10145341991296
Reddit,San Francisco Bay Area,USA,North America,90,2023-06-06,5.0,1800,1710,Consumer,Series F,1300.0,2023,37.77493,-122.41942,Consumer,0.17082623261628355,113.24898568126481
Dragos,Baltimore,USA,North America,50,2023-06-06,9.0,556,506,Security,Series D,364.0,2023,39.29038,-76.61219,Other,0.31267793340442784,149.10145341991296
Spotify,Stockholm,Sweden,Europe,200,2023-06-05,2.0,9400,9200,Media,Post-IPO,2100.0,2023,59.32938,18.06871,Other,0.31267793340442784,149.10145341991296
ZoomInfo,Vancouver,Canada,North America,120,2023-06-02,3.0,4000,3880,Sales,Post-IPO,7.0,2023,49.24966,-123.11934,Other,0.31267793340442784,149.10145341991296
Outbrain,New York City,USA,North America,90,2023-06-01,10.0,900,810,Marketing,Post-IPO,394.0,2023,40.71427,-74.00597,Retail,0.04584106071309091,193.58928577969698
Zendesk,San Francisco Bay Area,USA,North America,320,2023-05-31,8.0,4000,3680,Support,Acquired,85.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
ZipRecruiter,Los Angeles,USA,North America,270,2023-05-31,20.0,1350,1080,Recruiting,Post-IPO,769.0,2023,34.05223,-118.24368,Other,0.31267793340442784,149.10145341991296
Mux,San Francisco Bay Area,USA,North America,40,2023-05-31,30.0,133,93,Infrastructure,Series D,173.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Away,New York City,USA,North America,22,2023-05-31,8.0,275,253,Retail,Series D,181.0,2023,40.71427,-74.00597,Consumer,0.17082623261628355,113.24898568126481
Taxfix,Berlin,Germany,Europe,120,2023-05-30,20.0,600,480,Finance,Series D,330.0,2023,52.52437,13.41053,Other,0.31267793340442784,149.10145341991296
Evolve,Denver,USA,North America,164,2023-05-29,14.0,1171,1007,Travel,Series F,224.0,2023,39.73915,-104.9847,Other,0.31267793340442784,149.10145341991296
Airmeet,Bengaluru,India,Asia,75,2023-05-25,30.0,250,175,Marketing,Series B,50.0,2023,12.97194,77.59369,Retail,0.04584106071309091,193.58928577969698
Guild,Denver,USA,North America,172,2023-05-24,12.0,1433,1261,Education,Series F,643.0,2023,39.73915,-104.9847,Other,0.31267793340442784,149.10145341991296
Flink,Berlin,Germany,Europe,100,2023-05-24,16.0,625,525,Food,Series B,1000.0,2023,52.52437,13.41053,Consumer,0.17082623261628355,113.24898568126481
Western Digital,Kfar Saba,Israel,Asia,60,2023-05-24,7.0,857,797,Hardware,Post-IPO,900.0,2023,32.175,34.90694,Other,0.31267793340442784,149.10145341991296
Pie Insurance,Washington DC,USA,North America,63,2023-05-18,14.0,450,387,Finance,Series D,621.0,2023,38.89511,-77.03637,Other,0.31267793340442784,149.10145341991296
Zepz,London,United Kingdom,Europe,420,2023-05-16,26.0,1615,1195,Finance,Series E,700.0,2023,51.50853,-0.12574,Other,0.31267793340442784,149.10145341991296
Lemonade,New York City,USA,North America,45,2023-05-16,3.0,1500,1455,Finance,Post-IPO,481.0,2023,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Nuro,San Francisco Bay Area,USA,North America,340,2023-05-12,30.0,1133,793,Transportation,Series D,2100.0,2023,37.38605,-122.08385,Other,0.31267793340442784,149.10145341991296
Happay,Bengaluru,India,Asia,160,2023-05-12,35.0,457,297,Finance,Acquired,21.0,2023,12.97194,77.59369,Other,0.31267793340442784,149.10145341991296
Cornershop,Santiago,Chile,South America,250,2023-05-11,11.0,2273,2023,Food,Acquired,31.0,2023,-33.45694,-70.64827,Consumer,0.17082623261628355,113.24898568126481
Redbubble,Melbourne,Australia,Australia,70,2023-05-10,23.0,304,234,Retail,Post-IPO,55.0,2023,-37.814,144.96332,Consumer,0.17082623261628355,113.24898568126481
Stack Overflow,New York City,USA,North America,58,2023-05-10,10.0,580,522,Recruiting,Acquired,153.0,2023,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
Akamai,Boston,USA,North America,290,2023-05-09,3.0,9667,9377,Security,Post-IPO,35.0,2023,42.35843,-71.05977,Other,0.31267793340442784,149.10145341991296
Sonatype,Baltimore,USA,North America,100,2023-05-09,14.0,714,614,Security,Acquired,154.0,2023,39.29038,-76.61219,Other,0.31267793340442784,149.10145341991296
Permutive,London,United Kingdom,Europe,80,2023-04-11,40.0,200,120,Marketing,Series C,105.0,2023,51.50853,-0.12574,Retail,0.04584106071309091,193.58928577969698
LinkedIn,San Francisco Bay Area,USA,North America,716,2023-05-08,4.0,17900,17184,Recruiting,Acquired,154.0,2023,37.36883,-122.03635,Other,0.31267793340442784,149.10145341991296
Twist Bioscience,San Francisco Bay Area,USA,North America,270,2023-05-05,25.0,1080,810,Healthcare,Post-IPO,503.0,2023,37.77493,-122.41942,Healthcare,0.5421634367891365,286.19442704934613
Meesho,Bengaluru,India,Asia,251,2023-05-05,15.0,1673,1422,Retail,Series F,1100.0,2023,12.97194,77.59369,Consumer,0.17082623261628355,113.24898568126481
Shopify,Ottawa,Canada,North America,2300,2023-05-04,20.0,11500,9200,Retail,Post-IPO,122.0,2023,45.41117,-75.69812,Consumer,0.17082623261628355,113.24898568126481
Sabre,Dallas,USA,North America,1100,2023-05-04,15.0,7333,6233,Travel,Post-IPO,1770.0,2023,32.78306,-96.80667,Other,0.31267793340442784,149.10145341991296
Autograph,Los Angeles,USA,North America,30,2023-05-04,33.0,91,61,Crypto,Series B,205.0,2023,34.05223,-118.24368,Other,0.31267793340442784,149.10145341991296
Karma,Tel Aviv,Israel,Asia,20,2023-05-04,28.0,71,51,Retail,Series A,34.0,2023,32.08088,34.78057,Consumer,0.17082623261628355,113.24898568126481
Brightcove,Boston,USA,North America,70,2023-05-03,10.0,700,630,Marketing,Post-IPO,145.0,2023,42.35843,-71.05977,Retail,0.04584106071309091,193.58928577969698
Healthy.io,Tel Aviv,Israel,Asia,70,2023-05-03,33.0,212,142,Healthcare,Series D,185.0,2023,32.08088,34.78057,Healthcare,0.5421634367891365,286.19442704934613
TheSkimm,New York City,USA,North America,22,2023-05-03,13.0,169,147,Media,Series C,28.0,2023,40.71427,-74.00597,Other,0.31267793340442784,149.10145341991296
